"","Accession","Species","Genus","Family"
"967","NC_043443.1","Hartmanivirus haartmani","Hartmanivirus","Arenaviridae"
"968","NC_010326.1","Phikmvvirus LUZ19","Phikmvvirus","Autographiviridae"
"969","NC_073916.1","Condavirus arvenecus","Condavirus","Fiersviridae"
"970","NC_047738.1","Paadamvirus RHEph01","Paadamvirus","Autographiviridae"
"971","NC_031018.1","Kayfunavirus SH4","Kayfunavirus","Autographiviridae"
"973","NC_011109.1","Upsilonpapillomavirus 1","Upsilonpapillomavirus","Papillomaviridae"
"974","NC_014240.1","Broome orthoreovirus","Orthoreovirus","Spinareoviridae"
"975","NC_043533.1","Prunus latent virus","Grablovirus","Geminiviridae"
"976","NC_008844.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"977","NC_015150.1","Alphapolyomavirus nonihominis","Alphapolyomavirus","Polyomaviridae"
"978","NC_007044.1","Bracoviriform demolitoris","Bracoviriform","Polydnaviriformidae"
"979","NC_002657.1","Pestivirus suis","Pestivirus","Flaviviridae"
"980","NC_076391.1","Sclerotimonavirus penicillii","Sclerotimonavirus","Mymonaviridae"
"981","NC_019448.1","Kayvirus G15","Kayvirus","Herelleviridae"
"982","NC_043069.1","Orthohantavirus asikkalaense","Orthohantavirus","Hantaviridae"
"983","NC_016962.1","Bebaru virus","Alphavirus","Togaviridae"
"985","NC_055719.1","Shandvirus sh35","Shandvirus","Kyanoviridae"
"988","NC_076885.1","Badnavirus tessellocastaneae","Badnavirus","Caulimoviridae"
"989","NC_074389.1","Iwahcevirus pelovicinum","Iwahcevirus","Steitzviridae"
"990","NC_039049.1","Protoparvovirus primate2","Protoparvovirus","Parvoviridae"
"992","NC_074373.1","Hohrdovirus solenecus","Hohrdovirus","Steitzviridae"
"994","NC_055195.1","Orthobunyavirus achiotei","Orthobunyavirus","Peribunyaviridae"
"995","NC_013638.1","Tunggulvirus f2","Tunggulvirus","Autographiviridae"
"996","NC_010953.1","Macroptilium golden mosaic virus","Begomovirus","Geminiviridae"
"997","NC_030311.1","Cotton yellow mosaic virus","Begomovirus","Geminiviridae"
"998","NC_003845.1","Tobacco streak virus","Ilarvirus","Bromoviridae"
"999","NC_028836.1","Phikmvvirus DL62","Phikmvvirus","Autographiviridae"
"1001","NC_014795.1","Sida golden mosaic Buckup virus","Begomovirus","Geminiviridae"
"1003","NC_041848.1","Peduovirus magyaro","Peduovirus","Peduoviridae"
"1004","NC_054930.1","Tequatrovirus pp01","Tequatrovirus","Straboviridae"
"1006","NC_074436.1","Mocruvirus solivivens","Mocruvirus","Steitzviridae"
"1009","NC_076899.1","Auricularimonavirus bondarzewiae","Auricularimonavirus","Mymonaviridae"
"1010","NC_049200.1","Sida ciliaris golden mosaic virus","Begomovirus","Geminiviridae"
"1011","NC_037573.1","Maize rough dwarf virus","Fijivirus","Spinareoviridae"
"1012","NC_028686.1","Jiaodavirus jd18","Jiaodavirus","Straboviridae"
"1013","NC_073756.1","Primolicivirus Pf8","Primolicivirus","Inoviridae"
"1019","NC_043207.1","Frijoles phlebovirus","Phlebovirus","Phenuiviridae"
"1024","NC_076567.1","Unuamitovirus scsc7","Unuamitovirus","Mitoviridae"
"1025","NC_003479.1","Banana bunchy top virus","Babuvirus","Nanoviridae"
"1026","NC_076486.1","Lizard atadenovirus B","Atadenovirus","Adenoviridae"
"1027","NC_005321.1","Papaya leaf curl China virus","Begomovirus","Geminiviridae"
"1028","NC_005778.1","Chilli veinal mottle virus","Potyvirus","Potyviridae"
"1030","NC_038376.1","Bombyx mori bidensovirus","Bidensovirus","Bidnaviridae"
"1031","NC_043353.1","Bracoviriform indiense","Bracoviriform","Polydnaviriformidae"
"1033","NC_040386.1","Molossus molossus circovirus 4","Circovirus","Circoviridae"
"1035","NC_001352.1","Alphapapillomavirus 4","Alphapapillomavirus","Papillomaviridae"
"1036","NC_078357.1","Phlebovirus perkerraense","Phlebovirus","Phenuiviridae"
"1037","NC_048819.1","Epseptimavirus ev119","Epseptimavirus","Demerecviridae"
"1039","NC_014239.1","Broome orthoreovirus","Orthoreovirus","Spinareoviridae"
"1040","NC_011500.2","Rotavirus A","Rotavirus","Sedoreoviridae"
"1041","NC_040330.1","Gemycircularvirus termi1","Gemycircularvirus","Genomoviridae"
"1042","NC_032006.1","Tomato mottle leaf curl virus","Begomovirus","Geminiviridae"
"1043","NC_043257.1","Feldmannia irregularis virus a","Phaeovirus","Phycodnaviridae"
"1045","NC_078239.1","Xinspivirus xinzhouense","Xinspivirus","Nairoviridae"
"1046","NC_001651.1","Citrus bent leaf viroid","Apscaviroid","Pospiviroidae"
"1048","NC_077190.1","Chifec virus UA13_1800","Cyclovirus","Circoviridae"
"1050","NC_055394.1","Orthophasmavirus anophelae","Orthophasmavirus","Phasmaviridae"
"1051","NC_004751.1","Cereal yellow dwarf virus RPV","Polerovirus","Solemoviridae"
"1052","NC_040381.1","Andurilvirus erebor","Andurilvirus","Vilyaviridae"
"1053","NC_021562.1","Saetivirus VFJ","Saetivirus","Inoviridae"
"1054","NC_037611.1","Pavonia yellow mosaic virus","Begomovirus","Geminiviridae"
"1055","NC_035889.1","Orthoflavivirus zikaense","Orthoflavivirus","Flaviviridae"
"1056","NC_074895.1","Tomato leaf curl Joydebpur virus","Begomovirus","Geminiviridae"
"1057","NC_025355.1","Jeilongvirus tailamense","Jeilongvirus","Paramyxoviridae"
"1058","NC_008211.1","Batravirus ranidallo1","Batravirus","Alloherpesviridae"
"1059","NC_043493.1","Macrobrachium satellite virus 1","Macronovirus","Sarthroviridae"
"1060","NC_076732.1","Magoulivirus malus","Magoulivirus","Botourmiaviridae"
"1061","NC_040794.1","Alphacarmovirus adonis","Alphacarmovirus","Tombusviridae"
"1063","NC_008959.1","Ichnoviriform fugitivi","Ichnoviriform","Polydnaviriformidae"
"1064","NC_047808.1","Kayfunavirus F","Kayfunavirus","Autographiviridae"
"1065","NC_023986.1","Alphamesonivirus 4","Alphamesonivirus","Mesoniviridae"
"1066","NC_007529.1","Mycoreovirus 3","Mycoreovirus","Spinareoviridae"
"1067","NC_004462.2","Hukuchivirus IN93","Hukuchivirus","Matshushitaviridae"
"1068","NC_078655.1","Nepovirus poaceae","Nepovirus","Secoviridae"
"1070","NC_034537.1","Hapavirus lajoya","Hapavirus","Rhabdoviridae"
"1071","NC_007992.1","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae"
"1072","NC_009241.1","Rice gall dwarf virus","Phytoreovirus","Sedoreoviridae"
"1074","NC_031926.1","Unahavirus uv2A","Unahavirus","Duneviridae"
"1075","NC_038444.1","Cotton leaf curl Gezira virus","Begomovirus","Geminiviridae"
"1077","NC_002692.1","Tomato mosaic virus","Tobamovirus","Virgaviridae"
"1078","NC_078734.1","Quaranjavirus araguariense","Quaranjavirus","Orthomyxoviridae"
"1080","NC_023298.1","Pea yellow stunt virus","Nanovirus","Nanoviridae"
"1081","NC_007448.1","Grapevine leafroll-associated virus 2","Closterovirus","Closteroviridae"
"1084","NC_074522.1","Weheuvirus geocola","Weheuvirus","Steitzviridae"
"1085","NC_074112.1","Tapikevirus pelocola","Tapikevirus","Fiersviridae"
"1086","NC_028459.1","Gemyvongvirus humas1","Gemyvongvirus","Genomoviridae"
"1087","NC_055174.1","Agnathovirus eptatreti","Agnathovirus","Hantaviridae"
"1088","NC_007454.1","Jeilongvirus queenslandense","Jeilongvirus","Paramyxoviridae"
"1090","NC_015286.1","Pontusvirus syn19","Pontusvirus","Kyanoviridae"
"1091","NC_003760.1","Rice dwarf virus","Phytoreovirus","Sedoreoviridae"
"1092","NC_012558.1","Alphapleolipovirus HRPV1","Alphapleolipovirus","Pleolipoviridae"
"1093","NC_007808.1","Paundecimvirus PA11","Paundecimvirus","Zobellviridae"
"1094","NC_007757.1","Peruvian horse sickness virus","Orbivirus","Sedoreoviridae"
"1096","NC_074058.1","Phulivirus tegeticola","Phulivirus","Fiersviridae"
"1097","NC_005999.1","St Croix River virus","Orbivirus","Sedoreoviridae"
"1098","NC_038446.1","Orthohantavirus fusongense","Orthohantavirus","Hantaviridae"
"1099","NC_018629.1","Lyssavirus ikoma","Lyssavirus","Rhabdoviridae"
"1100","NC_005895.2","Strawberry pallidosis-associated virus","Crinivirus","Closteroviridae"
"1101","NC_034273.1","Endive necrotic mosaic virus","Potyvirus","Potyviridae"
"1102","NC_055709.1","Carettavirus e142","Carettavirus","Straboviridae"
"1103","NC_043522.1","Soybean scleroulivirus 2","Scleroulivirus","Botourmiaviridae"
"1104","NC_055366.1","Uukuvirus rukutamaense","Uukuvirus","Phenuiviridae"
"1105","NC_001973.1","Alphabaculovirus lydisparis","Alphabaculovirus","Baculoviridae"
"1106","NC_075282.1","Grusopivirus B","Grusopivirus","Picornaviridae"
"1107","NC_043444.1","Hartmanivirus haartmani","Hartmanivirus","Arenaviridae"
"1109","NC_011555.2","Blackberry chlorotic ringspot virus","Ilarvirus","Bromoviridae"
"1112","NC_029797.1","Protoparvovirus chiropteran1","Protoparvovirus","Parvoviridae"
"1114","NC_054924.1","Tequatrovirus lutter","Tequatrovirus","Straboviridae"
"1115","NC_055434.1","Ixovirus norvegiae","Ixovirus","Phenuiviridae"
"1116","NC_013400.1","Epizootic hemorrhagic disease virus","Orbivirus","Sedoreoviridae"
"1117","NC_036471.1","Piscine orthoreovirus","Orthoreovirus","Spinareoviridae"
"1118","NC_038545.1","Protoparvovirus rodent2","Protoparvovirus","Parvoviridae"
"1120","NC_077115.1","Equine circovirus 1","Circovirus","Circoviridae"
"1121","NC_076286.1","Gemycircularvirus dichism1","Gemycircularvirus","Genomoviridae"
"1122","NC_014594.1","Tomato leaf curl Bangladesh betasatellite","Betasatellite","Tolecusatellitidae"
"1123","NC_031903.1","Alisovirus socal22","Alisovirus","Kyanoviridae"
"1125","NC_012519.1","African oil palm ringspot virus","Robigovirus","Betaflexiviridae"
"1127","NC_003538.1","Columnea latent viroid","Pospiviroid","Pospiviroidae"
"1128","NC_078626.1","Sadwavirus alphananas","Sadwavirus","Secoviridae"
"1130","NC_073793.1","Ipivevirus pelenecus","Ipivevirus","Atkinsviridae"
"1131","NC_020864.1","Micromonas pusilla virus 12T","Prasinovirus","Phycodnaviridae"
"1134","NC_038569.1","Corriparta virus","Orbivirus","Sedoreoviridae"
"1136","NC_074527.1","Weheuvirus lutivicinum","Weheuvirus","Steitzviridae"
"1138","NC_054909.1","Tequatrovirus ec121","Tequatrovirus","Straboviridae"
"1139","NC_003930.1","Salmon pancreas disease virus","Alphavirus","Togaviridae"
"1140","NC_029095.1","Erysiphe cichoracearum alphaendornavirus","Alphaendornavirus","Endornaviridae"
"1141","NC_030413.1","Etheostoma fonticola aquareovirus","Aquareovirus","Spinareoviridae"
"1142","NC_075988.1","Protoparvovirus incertum1","Protoparvovirus","Parvoviridae"
"1144","NC_003399.1","Scallion mosaic virus","Potyvirus","Potyviridae"
"1148","NC_038686.1","Tomato leaf curl Malaysia betasatellite","Betasatellite","Tolecusatellitidae"
"1150","NC_036615.1","Deltainfluenzavirus influenzae","Deltainfluenzavirus","Orthomyxoviridae"
"1152","NC_047791.1","Suwonvirus PP101","Suwonvirus","Chaseviridae"
"1153","NC_074326.1","Gredihovirus pedocola","Gredihovirus","Steitzviridae"
"1154","NC_001929.2","Abutilon mosaic virus","Begomovirus","Geminiviridae"
"1155","NC_026816.1","Plumeria mosaic virus","Tobamovirus","Virgaviridae"
"1156","NC_033619.1","Helicoverpa armigera iflavirus","Iflavirus","Iflaviridae"
"1157","NC_003709.1","Watermelon chlorotic stunt virus","Begomovirus","Geminiviridae"
"1159","NC_015046.1","Sida mosaic Bolivia virus 1","Begomovirus","Geminiviridae"
"1161","NC_076622.1","Epsilonhypovirus entoleucae","Epsilonhypovirus","Hypoviridae"
"1164","NC_049969.1","Hemphillvirus DK3","Hemphillvirus","Salasmaviridae"
"1165","NC_018857.1","Wphvirus BPS13","Wphvirus","Herelleviridae"
"1167","NC_047789.1","Berlinvirus PP74","Berlinvirus","Autographiviridae"
"1168","NC_078222.1","Subterranean clover stunt virus","Nanovirus","Nanoviridae"
"1169","NC_010839.1","Tomato leaf curl Palampur virus","Begomovirus","Geminiviridae"
"1170","NC_078268.1","Orthonairovirus australiaense","Orthonairovirus","Nairoviridae"
"1172","NC_039216.1","Bell pepper alphaendornavirus","Alphaendornavirus","Endornaviridae"
"1173","NC_047927.1","Kayfunavirus YZ1","Kayfunavirus","Autographiviridae"
"1174","NC_003660.1","Nilaparvata lugens reovirus","Fijivirus","Spinareoviridae"
"1175","NC_040806.1","Gammapapillomavirus sp.","Gammapapillomavirus","Papillomaviridae"
"1176","NC_009491.1","Tomato mild yellow leaf curl Aragua virus","Begomovirus","Geminiviridae"
"1177","NC_052683.1","Quaranjavirus chadense","Quaranjavirus","Orthomyxoviridae"
"1178","NC_007456.1","Kayfunavirus K1F","Kayfunavirus","Autographiviridae"
"1179","NC_078364.1","Emaravirus perillae","Emaravirus","Fimoviridae"
"1180","NC_040692.1","Badnavirus betainflatheobromae","Badnavirus","Caulimoviridae"
"1182","NC_001777.1","Alphanecrovirus nicotianae","Alphanecrovirus","Tombusviridae"
"1183","NC_076425.1","Chaphamaparvovirus psittacine1","Chaphamaparvovirus","Parvoviridae"
"1184","NC_003084.1","Deltabaculovirus cunigripalpi","Deltabaculovirus","Baculoviridae"
"1185","NC_078297.1","Tanzavirus daressalaamense","Tanzavirus","Phenuiviridae"
"1187","NC_078234.1","Orthobunyavirus buffaloense","Orthobunyavirus","Peribunyaviridae"
"1190","NC_038583.1","Equine encephalosis virus","Orbivirus","Sedoreoviridae"
"1193","NC_078402.1","Rubodvirus argentinaense","Rubodvirus","Phenuiviridae"
"1194","NC_007653.1","Simplexvirus papiinealpha2","Simplexvirus","Orthoherpesviridae"
"1195","NC_055462.1","Rhizoctonia solani alphaendornavirus 2","Alphaendornavirus","Endornaviridae"
"1197","NC_005331.1","Sida micrantha mosaic virus","Begomovirus","Geminiviridae"
"1198","NC_048157.1","Betapleolipovirus HRPV10","Betapleolipovirus","Pleolipoviridae"
"1201","NC_055647.1","Emaravirus kiwii","Emaravirus","Fimoviridae"
"1202","NC_027119.1","Kuttervirus Det7","Kuttervirus","Ackermannviridae"
"1203","NC_055454.1","Cytorhabdovirus maysflavostriatis","Cytorhabdovirus","Rhabdoviridae"
"1204","NC_074035.1","Oceshuvirus lutenecus","Oceshuvirus","Fiersviridae"
"1205","NC_079009.1","Beiji nairovirus","Orthonairovirus","Nairoviridae"
"1208","NC_043593.1","Orthobunyavirus mermetense","Orthobunyavirus","Peribunyaviridae"
"1209","NC_003113.1","Iflavirus pernudae","Iflavirus","Iflaviridae"
"1210","NC_074516.1","Weheuvirus chthonenecus","Weheuvirus","Steitzviridae"
"1211","NC_038515.1","Mobatvirus laibinense","Mobatvirus","Hantaviridae"
"1213","NC_012783.2","Cytomegalovirus cercopithecinebeta5","Cytomegalovirus","Orthoherpesviridae"
"1214","NC_007066.1","Kayvirus G1","Kayvirus","Herelleviridae"
"1215","NC_023588.1","Simpcentumvirus Smp131","Simpcentumvirus","Peduoviridae"
"1216","NC_015116.1","Avian leukosis virus","Alpharetrovirus","Retroviridae"
"1217","NC_052989.1","Jacunavirus JC01","Jacunavirus","Casjensviridae"
"1220","NC_001830.1","Pear blister canker viroid","Apscaviroid","Pospiviroidae"
"1223","NC_004618.1","Chayote yellow mosaic virus","Begomovirus","Geminiviridae"
"1224","NC_003482.1","Barley mild mosaic virus","Bymovirus","Potyviridae"
"1226","NC_006504.1","Thogotovirus thogotoense","Thogotovirus","Orthomyxoviridae"
"1228","NC_019547.1","Ageratum enation alphasatellite","Colecusatellite","Alphasatellitidae"
"1233","NC_038494.1","Gemycircularvirus sewopo4","Gemycircularvirus","Genomoviridae"
"1234","NC_003728.1","Rice black streaked dwarf virus","Fijivirus","Spinareoviridae"
"1235","NC_013797.1","Betabaculovirus arrapae","Betabaculovirus","Baculoviridae"
"1236","NC_043515.1","Sanfarnavirus 1","Locarnavirus","Marnaviridae"
"1237","NC_019559.2","Muromegalovirus muridbeta8","Muromegalovirus","Orthoherpesviridae"
"1239","NC_032270.1","Nepovirus glycinis","Nepovirus","Secoviridae"
"1240","NC_074971.1","Betapolyomavirus secumuris","Betapolyomavirus","Polyomaviridae"
"1241","NC_074579.1","Fudhoevirus lutadaptatum","Fudhoevirus","Steitzviridae"
"1242","NC_049382.1","Kuttervirus BSP101","Kuttervirus","Ackermannviridae"
"1243","NC_040427.1","Antennavirus striale","Antennavirus","Arenaviridae"
"1244","NC_038832.1","Heterobasidion partitivirus 13","Alphapartitivirus","Partitiviridae"
"1246","NC_049441.1","Lazarusvirus karl","Lazarusvirus","Straboviridae"
"1248","NC_015878.1","Baboon orthoreovirus","Orthoreovirus","Spinareoviridae"
"1249","NC_075320.1","Gemycircularvirus lynca3","Gemycircularvirus","Genomoviridae"
"1250","NC_019854.2","Betapolyomavirus calbifrons","Betapolyomavirus","Polyomaviridae"
"1252","NC_010951.1","Wissadula golden mosaic virus","Begomovirus","Geminiviridae"
"1253","NC_038634.1","Aquareovirus E","Aquareovirus","Spinareoviridae"
"1255","NC_006632.1","Malvastrum yellow vein Yunnan virus satellite DNA beta","Betasatellite","Tolecusatellitidae"
"1256","NC_038374.1","Orthohantavirus chocloense","Orthohantavirus","Hantaviridae"
"1257","NC_074104.1","Smudhfivirus lutadaptatum","Smudhfivirus","Fiersviridae"
"1258","NC_043511.1","Phlebovirus mukawaense","Phlebovirus","Phenuiviridae"
"1259","NC_022597.1","Murrumbidgee virus","Orthobunyavirus","Peribunyaviridae"
"1260","NC_012135.1","Gayfeather mild mottle virus","Cucumovirus","Bromoviridae"
"1262","NC_055471.1","Tomato chlorotic leaf curl virus","Begomovirus","Geminiviridae"
"1263","NC_036588.1","Passerivirus sp.","Passerivirus","Picornaviridae"
"1264","NC_004147.1","Papaya leaf curl virus","Begomovirus","Geminiviridae"
"1265","NC_003696.1","Eyach coltivirus","Coltivirus","Spinareoviridae"
"1266","NC_043512.1","Recovirus A","Recovirus","Caliciviridae"
"1269","NC_007571.1","Rotavirus C","Rotavirus","Sedoreoviridae"
"1270","NC_075446.1","Respirovirus pneumoniae","Respirovirus","Paramyxoviridae"
"1272","NC_055556.1","Alphapolyomavirus aflavicollis","Alphapolyomavirus","Polyomaviridae"
"1273","NC_041936.1","Krischvirus ecd7","Krischvirus","Straboviridae"
"1275","NC_074046.1","Oxychlovirus terrivicinum","Oxychlovirus","Fiersviridae"
"1277","NC_028260.1","Mivirus changpingense","Mivirus","Chuviridae"
"1278","NC_043657.1","Alphachrysovirus raphani","Alphachrysovirus","Chrysoviridae"
"1280","NC_047704.1","Ayaqvirus S45C18","Ayaqvirus","Autographiviridae"
"1282","NC_039242.1","Feline foamy virus","Felispumavirus","Retroviridae"
"1283","NC_043648.1","Dichorhavirus clerodendri","Dichorhavirus","Rhabdoviridae"
"1284","NC_043583.1","Orthobunyavirus schmallenbergense","Orthobunyavirus","Peribunyaviridae"
"1285","NC_054912.1","Tequatrovirus effone","Tequatrovirus","Straboviridae"
"1287","NC_001813.1","Duck atadenovirus A","Atadenovirus","Adenoviridae"
"1288","NC_039221.1","Orthonairovirus thiaforaense","Orthonairovirus","Nairoviridae"
"1289","NC_035432.1","Linda virus","Pestivirus","Flaviviridae"
"1290","NC_020485.1","Simian mastadenovirus G","Mastadenovirus","Adenoviridae"
"1292","NC_021774.1","Stockinghallvirus FSLSP004","Stockinghallvirus","Peduoviridae"
"1293","NC_079093.1","Vitis emaravirus","Emaravirus","Fimoviridae"
"1294","NC_013585.1","Acidianus spindle-shaped virus 1","Betafusellovirus","Fuselloviridae"
"1296","NC_023567.2","Drulisvirus F19","Drulisvirus","Autographiviridae"
"1299","NC_009029.2","Orthoflavivirus kokoberaorum","Orthoflavivirus","Flaviviridae"
"1301","NC_005057.1","Tobacco curly shoot alphasatellite","Colecusatellite","Alphasatellitidae"
"1302","NC_042006.1","Friunavirus P1","Friunavirus","Autographiviridae"
"1306","NC_062780.1","Kingevirus communis","Kingevirus","Crevaviridae"
"1308","NC_037055.1","Erysiphe necator mitovirus 2","Mitovirus","Mitoviridae"
"1310","NC_018871.1","Bat coronavirus HKU10","Alphacoronavirus","Coronaviridae"
"1311","NC_020928.1","Bombyx mori bidensovirus","Bidensovirus","Bidnaviridae"
"1312","NC_055423.1","Uukuvirus lihanense","Uukuvirus","Phenuiviridae"
"1313","NC_025803.1","Pteropine orthoreovirus","Orthoreovirus","Spinareoviridae"
"1314","NC_073894.1","Brudgevirus terrivivens","Brudgevirus","Fiersviridae"
"1315","NC_048056.1","Phimunavirus gaspode","Phimunavirus","Autographiviridae"
"1316","NC_048126.1","Webervirus TSK1","Webervirus","Drexlerviridae"
"1317","NC_043645.1","Orthobunyavirus potosiense","Orthobunyavirus","Peribunyaviridae"
"1318","NC_008884.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"1319","NC_074190.1","Konmavirus peladaptatum","Konmavirus","Blumeviridae"
"1320","NC_009894.1","Orthobunyavirus akabaneense","Orthobunyavirus","Peribunyaviridae"
"1321","NC_055528.1","Psittacine aviadenovirus C","Aviadenovirus","Adenoviridae"
"1323","NC_003059.1","Porcine type-C oncovirus","Gammaretrovirus","Retroviridae"
"1325","NC_055873.1","Culoivirus americanus","Culoivirus","Suoliviridae"
"1328","NC_075006.1","Onyong-nyong virus","Alphavirus","Togaviridae"
"1329","NC_007340.1","Tomato chlorosis virus","Crinivirus","Closteroviridae"
"1330","NC_075299.1","Phyllomonavirus phyllospherae","Phyllomonavirus","Mymonaviridae"
"1331","NC_016141.1","Higrevirus waimanalo","Higrevirus","Kitaviridae"
"1332","NC_030407.1","Etheostoma fonticola aquareovirus","Aquareovirus","Spinareoviridae"
"1333","NC_047790.1","Catalunyavirus C5a","Catalunyavirus","Peduoviridae"
"1334","NC_074463.1","Pujohnavirus chthonadaptatum","Pujohnavirus","Steitzviridae"
"1338","NC_010538.1","Hop mosaic virus","Carlavirus","Betaflexiviridae"
"1340","NC_074363.1","Hohrdovirus edaphovicinum","Hohrdovirus","Steitzviridae"
"1342","NC_040738.1","Betachrysovirus alternariae","Betachrysovirus","Chrysoviridae"
"1344","NC_078068.1","Bandavirus kismaayoense","Bandavirus","Phenuiviridae"
"1345","NC_001935.1","Potato yellow mosaic virus","Begomovirus","Geminiviridae"
"1346","NC_055802.1","Rosenblumvirus SA46CL1","Rosenblumvirus","Rountreeviridae"
"1347","NC_002690.1","Nodamura virus","Alphanodavirus","Nodaviridae"
"1348","NC_076814.1","Penoulivirus deltaplasmoparae","Penoulivirus","Botourmiaviridae"
"1349","NC_034160.1","Otarine picobirnavirus","Picobirnavirus","Picobirnaviridae"
"1351","NC_039203.1","Orthotospovirus polygonianuli","Orthotospovirus","Tospoviridae"
"1352","NC_031063.1","Litunavirus Ab09","Litunavirus","Schitoviridae"
"1354","NC_079094.1","Vitis emaravirus","Emaravirus","Fimoviridae"
"1355","NC_006640.1","Bracoviriform congregatae","Bracoviriform","Polydnaviriformidae"
"1356","NC_043272.1","Bracoviriform inaniti","Bracoviriform","Polydnaviriformidae"
"1357","NC_004142.1","Boolarra virus","Alphanodavirus","Nodaviridae"
"1358","NC_001831.1","Bovine foamy virus","Bovispumavirus","Retroviridae"
"1359","NC_008938.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"1360","NC_077838.1","Mammalian orthoreovirus","Orthoreovirus","Spinareoviridae"
"1361","NC_048214.1","Avian coronavirus","Gammacoronavirus","Coronaviridae"
"1363","NC_017980.1","Brucesealvirus CP7R","Brucesealvirus","Guelinviridae"
"1366","NC_077915.1","Orthobunyavirus matruhense","Orthobunyavirus","Peribunyaviridae"
"1367","NC_073930.1","Decadevirus asienecus","Decadevirus","Fiersviridae"
"1368","NC_014236.1","Broome orthoreovirus","Orthoreovirus","Spinareoviridae"
"1369","NC_073747.1","Peduovirus STYP1","Peduovirus","Peduoviridae"
"1371","NC_030891.1","Sclerotium hydrophilum orthocurvulavirus 1","Orthocurvulavirus","Curvulaviridae"
"1374","NC_077724.1","Maize rough dwarf virus","Fijivirus","Spinareoviridae"
"1375","NC_040380.1","Molossus molossus circovirus 3","Circovirus","Circoviridae"
"1377","NC_076865.1","Foveavirus RuV1","Foveavirus","Betaflexiviridae"
"1378","NC_077826.1","Orthotospovirus callaflavi","Orthotospovirus","Tospoviridae"
"1380","NC_076823.1","Alphafusarivirus botryospheriae","Alphafusarivirus","Fusariviridae"
"1381","NC_040417.1","Nepovirus usolani","Nepovirus","Secoviridae"
"1383","NC_013692.1","Litunavirus LIT1","Litunavirus","Schitoviridae"
"1384","NC_040610.1","Nanay virus","Flavivirus","Flaviviridae"
"1386","NC_078933.1","Orthobunyavirus bakauense","Orthobunyavirus","Peribunyaviridae"
"1388","NC_055728.1","Winklervirus xtwenty","Winklervirus","Straboviridae"
"1389","NC_038896.1","Tomato leaf curl Diana virus","Begomovirus","Geminiviridae"
"1390","NC_049837.1","Webervirus alina","Webervirus","Drexlerviridae"
"1392","NC_030838.1","Thetapolyomavirus spari","Thetapolyomavirus","Polyomaviridae"
"1393","NC_005992.1","Palyam virus","Orbivirus","Sedoreoviridae"
"1395","NC_027528.1","Gammapapillomavirus 27","Gammapapillomavirus","Papillomaviridae"
"1396","NC_020808.1","Lyssavirus aravan","Lyssavirus","Rhabdoviridae"
"1397","NC_026807.1","Gemykibivirus rhina1","Gemykibivirus","Genomoviridae"
"1398","NC_034631.1","Orthobunyavirus wolkbergense","Orthobunyavirus","Peribunyaviridae"
"1399","NC_032005.1","Betapolyomavirus securanorvegicus","Betapolyomavirus","Polyomaviridae"
"1400","NC_021628.1","Rotavirus F","Rotavirus","Sedoreoviridae"
"1401","NC_040455.1","Mechlorovirus cucumeris","Mechlorovirus","Phenuiviridae"
"1402","NC_034257.1","Beauveria bassiana polymycovirus 1","Polymycovirus","Polymycoviridae"
"1404","NC_019509.1","Kyungwonvirus Esp29491","Kyungwonvirus","Drexlerviridae"
"1406","NC_076841.1","Ledantevirus taiyi","Ledantevirus","Rhabdoviridae"
"1407","NC_073936.1","Depandovirus solicola","Depandovirus","Fiersviridae"
"1409","NC_005881.2","Ostreavirus ostreidmalaco1","Ostreavirus","Malacoherpesviridae"
"1410","NC_076146.1","Sigmavirus capitata","Sigmavirus","Rhabdoviridae"
"1414","NC_076705.1","Unuamitovirus enmu7","Unuamitovirus","Mitoviridae"
"1415","NC_076293.1","Bocaparvovirus ungulate9","Bocaparvovirus","Parvoviridae"
"1416","NC_043441.1","Orthonairovirus artashatense","Orthonairovirus","Nairoviridae"
"1417","NC_034206.1","Kunsagivirus C","Kunsagivirus","Picornaviridae"
"1418","NC_002019.1","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae"
"1419","NC_075101.1","Tomato leaf curl betasatellite","Betasatellite","Tolecusatellitidae"
"1420","NC_048102.1","Leucotheavirus sp4","Leucotheavirus","Kyanoviridae"
"1421","NC_008886.1","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae"
"1422","NC_038575.1","Equine encephalosis virus","Orbivirus","Sedoreoviridae"
"1423","NC_075337.1","Giant panda associated gemycircularvirus","Gemycircularvirus","Genomoviridae"
"1424","NC_023594.2","Yushanvirus Spp001","Yushanvirus","Chaseviridae"
"1425","NC_054929.1","Tequatrovirus pe37","Tequatrovirus","Straboviridae"
"1426","NC_078525.1","Mykissvirus tructae","Mykissvirus","Orthomyxoviridae"
"1427","NC_038707.1","Jonvirus eboris","Jonvirus","Phasmaviridae"
"1430","NC_021929.1","Malvastrum leaf curl deltasatellite","Deltasatellite","Tolecusatellitidae"
